Unitmass,Material,Class
90000.0,Ferrous Metals,Seavessels
15000.0,Ferrous Metals,Seavessels
28000.0,Ferrous Metals,Seavessels
75000.0,Ferrous Metals,Seavessels
880000.0,Ferrous Metals,Seavessels
55000.0,Ferrous Metals,Seavessels
25000.0,Ferrous Metals,Seavessels
25000.0,Ferrous Metals,Seavessels
8451000.0,Ferrous Metals,Seavessels
-203900.0,Ferrous Metals,Seavessels
5000.0,Nonferrous Metals,Seavessels
12500.0,Nonferrous Metals,Seavessels
17000.0,Nonferrous Metals,Seavessels
2000.0,Nonferrous Metals,Seavessels
2000.0,Nonferrous Metals,Seavessels
2000.0,Nonferrous Metals,Seavessels
76000.0,Nonferrous Metals,Seavessels
220000.0,Machinery,Seavessels
38000.0,Machinery,Seavessels
114000.0,Machinery,Seavessels
228000.0,Machinery,Seavessels
30000.0,Machinery,Seavessels
60000.0,Machinery,Seavessels
12500.0,Electrical ,Seavessels
6000.0,Electrical ,Seavessels
13600.0,Electrical ,Seavessels
32400.0,Electrical ,Seavessels
73400.0,Electrical ,Seavessels
5000.0,Minerals,Seavessels
66000.0,Minerals,Seavessels
60000.0,Minerals,Seavessels
150100.0,Minerals,Seavessels
31700.0,Plastics,Seavessels
28800.0,Plastics,Seavessels
72000.0,Plastics,Seavessels
16300.0,Joinery,Seavessels
38800.0,Joinery,Seavessels
88100.0,Joinery,Seavessels
1000.0,Unkown,Seavessels
5400.0,Unkown,Seavessels
12900.0,Unkown,Seavessels
29400.0,Unkown,Seavessels
54000.0,Unkown,Seavessels
